Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
I2,22/09/15,Virtus Entella,Cagliari,1,3,A,1,1,D,4.33,3.2,1.91,4.2,3.2,1.9,4,3,1.9,4,3.1,1.95,4.53,3.23,2.02,3.8,3.2,2,4.33,3.25,1.95,39,4.53,4.01,3.3,3.16,2.02,1.93,31,2.33,2.18,1.72,1.65,25,0.5,1.92,1.86,2.02,1.94
I2,22/09/15,Virtus Lanciano,Vicenza,0,0,D,0,0,D,2.38,3,3.25,2.45,2.95,3,2.3,2.8,3.1,2.4,2.88,3.3,2.51,3.01,3.4,2.5,2.8,3.1,2.45,2.9,3.4,39,2.51,2.38,3.1,2.91,3.4,3.13,26,2.57,2.41,1.57,1.53,24,-0.25,2.11,2.02,1.85,1.8
I2,26/09/15,Ascoli,Brescia,0,0,D,0,0,D,2.38,3.25,3,2.35,3,3.1,2.3,2.8,3.1,2.4,3,3.1,2.5,3.15,3.26,2.45,2.9,3,2.45,3.1,3.2,39,2.5,2.36,3.25,3.02,3.26,3.03,32,2.34,2.2,1.71,1.63,23,-0.25,2.14,2.06,1.83,1.77
I2,26/09/15,Cagliari,Latina,3,2,H,2,1,H,1.62,3.6,6,1.6,3.6,5.75,1.65,3.3,4.9,1.62,3.5,6,1.61,3.79,7.08,1.62,3.5,5.5,1.6,3.7,7,39,1.65,1.59,3.8,3.54,7.08,5.85,32,2.22,2.14,1.72,1.67,23,-0.75,1.88,1.79,2.12,2.04
I2,26/09/15,Livorno,Spezia,1,2,A,0,1,A,2.1,3.25,3.5,2.1,3.1,3.6,2,2.9,3.7,2.2,3,3.5,2.26,3.22,3.69,2.2,3,3.3,2.25,3.1,3.7,39,2.28,2.14,3.25,3.08,3.75,3.42,31,2.27,2.18,1.72,1.64,23,-0.25,1.96,1.87,2.06,1.95
I2,26/09/15,Modena,Virtus Lanciano,1,0,H,0,0,D,2.25,3.2,3.25,2.3,2.9,3.3,2.1,2.9,3.4,2.3,2.9,3.4,2.34,3.09,3.65,2.25,3,3.2,2.3,3,3.6,39,2.34,2.23,3.2,2.99,3.65,3.32,29,2.57,2.41,1.6,1.52,23,-0.25,2.04,1.94,1.96,1.88
I2,26/09/15,Perugia,Cesena,0,0,D,0,0,D,2.5,3.1,2.9,2.55,2.95,2.85,2.5,2.8,2.9,2.5,3,2.9,2.64,3.12,3.07,2.6,2.9,2.8,2.6,3,3.1,39,2.64,2.5,3.15,2.96,3.1,2.88,28,2.38,2.28,1.65,1.58,24,0,1.82,1.77,2.12,2.04
I2,26/09/15,Pro Vercelli,Crotone,0,2,A,0,1,A,2.25,3.1,3.4,2.3,3.1,3.1,2.2,2.8,3.3,2.25,3,3.3,2.38,3.15,3.48,2.25,3,3.2,2.3,3.1,3.6,39,2.38,2.24,3.15,3,3.6,3.28,29,2.38,2.27,1.63,1.58,23,-0.25,2.01,1.93,1.94,1.88
I2,26/09/15,Salernitana,Ternana,2,1,H,0,0,D,2,3.25,3.8,2.05,3.1,3.7,2,2.9,3.7,2.05,3,3.8,2.1,3.22,4.17,2.05,3,3.75,2.05,3.13,4.33,39,2.1,2.03,3.25,3.1,4.33,3.7,28,2.5,2.36,1.6,1.55,23,-0.5,2.11,2.03,1.85,1.78
I2,26/09/15,Trapani,Virtus Entella,4,2,H,2,1,H,1.8,3.3,4.75,1.83,3.25,4.4,1.85,3,4.2,1.85,3.2,4.5,1.9,3.36,4.93,1.83,3.2,4.2,1.87,3.3,5,39,1.91,1.83,3.36,3.22,5,4.41,29,2.38,2.26,1.68,1.59,24,-0.5,1.92,1.85,2.03,1.95
